type,target_username,target_user_id,id,id_str,name,screen_name,description,email,url,profile_image_url_https,profile_banner_url,followers_count,fast_followers_count,normal_followers_count,friends_count,listed_count,favourites_count,statuses_count,media_count,created_at,verified,location,protected,geo_enabled,is_translator,has_extended_profile,default_profile,default_profile_image
follower,readyai_,,1667128848989683700,1667128848989683712,Ksoshop,JaxRogue,,,,https://pbs.twimg.com/profile_images/1989682215467270145/ziVZHzyp_normal.jpg,https://pbs.twimg.com/profile_banners/1667128848989683712/1763173868,0,0,0,966,0,3,0,0,Fri Jun 09 11:18:14 +0000 2023,FALSE,Monaco,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1988616594407428000,1988616594407428097,lily swift,oupaooo,,,,https://pbs.twimg.com/profile_images/1988616713920008192/wvklHKWI_normal.png,,0,0,0,6,0,0,0,0,Wed Nov 12 14:35:45 +0000 2025,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1989202894105571300,1989202894105571328,Simon,simonferrari08,,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,0,0,0,43,0,80,0,0,Fri Nov 14 05:27:46 +0000 2025,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
follower,readyai_,,1989196913942601700,1989196913942601729,Yash Chandra,YashChandr16996,"AI isn't just a Technology, it's an opportunity or blessings if it will be used in favour of Humanity and Mankind.We should remember that AI should be ethical",,,https://pbs.twimg.com/profile_images/1989197692669685765/sPBzm9-2_normal.jpg,https://pbs.twimg.com/profile_banners/1989196913942601729/1763121005,0,0,0,49,0,0,0,0,Fri Nov 14 05:01:41 +0000 2025,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1987912496758587400,1987912496758587392,Victor Stone,vstone0305,,,,https://pbs.twimg.com/profile_images/1987912557395693569/D2Q0jUgk_normal.png,,0,0,0,90,0,0,0,0,Mon Nov 10 15:57:41 +0000 2025,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1968658602023153700,1968658602023153664,Jordan,Jordan930406,,,,https://pbs.twimg.com/profile_images/1968658663884865536/5iOd7qSg_normal.jpg,,0,0,0,126,0,1,0,0,Thu Sep 18 12:49:35 +0000 2025,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1976045426475401200,1976045426475401217,Ivory,Ivoryjeoo,,,,https://pbs.twimg.com/profile_images/1976223820869742592/W9YiwTx4_normal.jpg,https://pbs.twimg.com/profile_banners/1976045426475401217/1760003597,0,0,0,26,0,10,13,0,Wed Oct 08 22:02:46 +0000 2025,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1916573170405970000,1916573170405969920,Ced Karim,KarimCed,,,,https://pbs.twimg.com/profile_images/1916573276371066880/45kD3LeR_normal.png,,0,0,0,10,0,2,0,0,Sun Apr 27 19:20:51 +0000 2025,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1984581368043749400,1984581368043749378,Bittensor auf Deutsch 🇩🇪,BittensorDE,"Do you want to manage this account and become an ambassador for BittensorGlobal in Germany? Get in touch with us.
 #Bittensor #TAO",,https://t.co/3fQ4936hdO,https://pbs.twimg.com/profile_images/1988966848818200576/oCyATng4_normal.jpg,https://pbs.twimg.com/profile_banners/1984581368043749378/1762191498,0,0,0,16,0,0,1,0,Sat Nov 01 11:21:16 +0000 2025,FALSE,Deutschland,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1975711910558638000,1975711910558638082,朱江,ilr3W7IkKl86715,,,,https://pbs.twimg.com/profile_images/1975712004125155328/7EkEjm5-_normal.png,,0,0,0,97,0,0,0,0,Tue Oct 07 23:57:03 +0000 2025,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1504912361584431000,1504912361584431106,阿庆,aqing66021619,三个6,,,https://pbs.twimg.com/profile_images/1506618058814623745/ySP_oTkP_normal.jpg,https://pbs.twimg.com/profile_banners/1504912361584431106/1647634964,0,0,0,107,0,0,0,0,Fri Mar 18 20:07:30 +0000 2022,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
follower,readyai_,,1501826731107360800,1501826731107360769,Thibault Da Rocha,rocha_thibault,,,,https://pbs.twimg.com/profile_images/1501826812355268608/JNrm_nk6_normal.png,,0,0,0,1276,0,2,103,0,Thu Mar 10 07:46:29 +0000 2022,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
